Date	Year	Action	Actor	Target	Agent	Event	Country	Location	Issue	Time/duration	Spartans/allies	Spartans captured	Spartans wounded	Spartans killed	Athenians/allies	Athenians captured	Athenians wounded	Athenians killed	Source	no event	Notes	Sources
25-Apr	-431	attack	Thebans	Plataeans		attack at night through gate opened for them	Greece	Platea	anti-Athens	21:00	302	0	0	0	1001	0	0	0	Thucydides			"Hanson, Victor D. A War Like No Other. New York: Random House, 2005."
26-Apr	-431	attack	Plataens	Thebans		attack just before dawn	Greece	Platea	anti-Sparta	6:00	302	180	101	21	1001	0	0	0	Kagan		Modern computers assume the world began	"Kagan, Donald. The Archidamian War. Ithaca, NY: Cornell University Press, 1990."
26-Apr	-431	escape	Sparta	Plataeans		escape from Spartan siege	Greece	Platea	anti-Sparta		302	0	0	0	205	1	0	0	Panagopoulos		"on January 1, 1900. There is no way to move from"	"Lazenby, J.F. The Peloponnesian War: A Military Study. New York: Routledge, 2004."
26-Apr	-431	murder	Plataens	Thebans		execute all prisoners	Greece	Platea	anti-Sparta		302	0	0	0	225	0	0	225	Thucydides		431 BCE to 421 BCE. We have tricked it with a 	"Mikalson, Jon D. The Sacred and Civil Calendar of the Athenian Year. Princeton, NJ: Princeton University Press, 1975."
26-Apr	-431	besiege	Sparta	Plateans		maintain siege	Greece	Platea	civil war		301	0	0	0	3000	0	0	0	Panagopoulos			
27-Apr	-431	arrest	Athens	Boeotians		seize all Boeotians in Attica	Greece	Attica	Athenian control		301	301	0	0	3001	0	0	0	Thucydides		separate column for the years.	"Panagopoulos, Andreas. Captives and Hostages in the Peloponnesian War. Amsterdam: Adolf M. Hakkert, 1989."
27-Apr	-431	besiege	Sparta	Plateans		maintain siege	Greece	Platea	civil war		301	0	0	0	3000	0	0	0	Panagopoulos			
28-Apr	-431	mobilization	Sparta	Athens		order allies to prepare for war with Athens	Greece	Sparta	anti-Athens		30001	0	0	0	0	0	0	0	Thucydides			"Thucydides. The Peloponnesian War. Norwalk, CT: Heritage Press, 1974."
28-Apr	-431	besiege	Sparta	Plateans		maintain siege	Greece	Platea	civil war		301	0	0	0	3000	0	0	0	Panagopoulos			
29-Apr	-431	mobilization	Sparta	Athens		order allies to prepare for war with Athens	Greece	Sparta	anti-Athens		30001	0	0	0	0	0	0	0	Thucydides			
29-Apr	-431	besiege	Sparta	Plateans		maintain siege	Greece	Platea	civil war		301	0	0	0	3000	0	0	0	Panagopoulos			
30-Apr	-431	mobilization	Sparta	Athens		order allies to prepare for war with Athens	Greece	Sparta	anti-Athens		30001	0	0	0	0	0	0	0	Thucydides		The war began at 21:00 (first watch night) on	
30-Apr	-431	attack	Sparta	Athens		Archidamus attacks Oenoe	Greece	Oenoe	anti-Athens		1500	0	31	8	1200	0	31	8	Kagan		a moonless spring night in 431 BCE.	
30-Apr	-431	besiege	Sparta	Plateans		maintain siege	Greece	Platea	civil war		301	0	0	0	3000	0	0	0	Panagopoulos			
1-May	-431	mobilization	Sparta	Athens		order allies to prepare for war with Athens	Greece	Sparta	anti-Athens		30001	0	0	0	0	0	0	0	Thucydides		We compute from Thucydides that the war began	
