Date	Day	Action	Actor	Target	Event	Country	Location	Issue	Linkdate	Time	Anti-treaty	Anti-treaty captured	Anti-treaty injured	Anti-treaty killed	Pro-treaty	Pro-treaty captured	Pro-treaty injured	Pro-treaty killed	Source	No event found		List of Sources
1-Mar-22	Wed																			no event		"Deasy, Liam. Brother Against Brother. Dublin: The Mercier Press, 1982."
2-Mar-22	Thu	adjourn	Irish Dail	UK	legislature adjourns until April 26 to consider the treaty	Ireland	Dublin	treaty			0	0	0	0	101	0	0	0	Younger			"Neeson, Eoin. The Civil War, 1922-1923. Dublin: Poolbeg Press, 1989."
3-Mar-22	Fri																			no event		"Younger, Calton. Ireland's Civil War. London: Frederick Muller, 1968."
4-Mar-22	Sat																			no event		
5-Mar-22	Sun																			no event		
6-Mar-22	Mon																			no event		
7-Mar-22	Tue																			no event		
8-Mar-22	Wed																			no event		
9-Mar-22	Thu																			no event		Notes
10-Mar-22	Fri																			no event		The Irish civil war hinged on the Anglo-Irish treat of 6 Demember 1921.
11-Mar-22	Sat																			no event		Pro-treaty forces agreed with the terms of the treaty.
12-Mar-22	Sun																			no event		"Anti-treaty forces rejected the terms of the treaty, especially continuted UK control of Ulster."
13-Mar-22	Mon																			no event		
14-Mar-22	Tue																			no event		
15-Mar-22	Wed																			no event		
16-Mar-22	Thu																			no event		
17-Mar-22	Fri																			no event		
18-Mar-22	Sat																			no event		
19-Mar-22	Sun																			no event		
20-Mar-22	Mon																			no event		
21-Mar-22	Tue																			no event		
22-Mar-22	Wed																			no event		
23-Mar-22	Thu																			no event		
24-Mar-22	Fri																			no event		
25-Mar-22	Sat	preclude	pro-treaty	anti-treaty	refuse to allow meeting of IRA brigades	Ireland	Dublin	treaty			0	0	0	0	12	0	0	0	Deasy			
26-Mar-22	Sun	meeting	anti-treaty	pro-treaty	IRA bridgades meet after all; all against treaty	Ireland	Dublin	treaty			301	0	0	0	0	0	0	0	Deasy			
27-Mar-22	Mon																			no event		
28-Mar-22	Tue																			no event		
29-Mar-22	Wed	piracy	anti-treaty	pro-treaty	hijack arms shipment & take weapons	Ireland	Cobh	treaty		19:00-20:00	31	0	0	0	0	0	0	0	Neeson			
29-Mar-22	Wed	vandalism	anti-treaty	newspaper	destroy press of Freeman's Jounal against its support of the treaty	Ireland	Dublin	treaty			8	0	0	0	0	0	0	0	Neeson			
30-Mar-22	Thu	murder	anti-treaty	UK intelligence officers	3 officers in plain clothes shot dead	Ireland	Cork	treaty			8	0	0	0	0	0	0	0	Neeson			
31-Mar-22	Fri																			no event		
1-Apr-22	Sat																			no event		
2-Apr-22	Sun	meeting	anti-treaty	pro-treaty	IRA bridgades meet to plan action	Ireland	Dublin	treaty			301	0	0	0	0	0	0	0	Deasy			
2-Apr-22	Sun	rally	pro-treaty	anti-treaty	Michael Collins tries to rally forces in a stormy rally	Ireland	Castlebar	treaty			301	0	0	0	301	0	0	0	Younger			
3-Apr-22	Mon																			no event		
4-Apr-22	Tue																			no event		
5-Apr-22	Wed																			no event		
6-Apr-22	Thu																			no event		
7-Apr-22	Fri																			no event		
8-Apr-22	Sat																			no event		
9-Apr-22	Sun	meeting	anti-treaty	pro-treaty	IRA bridgades meet to plan action	Ireland	Dublin	treaty			301	0	0	0	0	0	0	0	Deasy			
10-Apr-22	Mon																			no event		
11-Apr-22	Tue																			no event		
12-Apr-22	Wed																			no event		
13-Apr-22	Thu																			no event		
14-Apr-22	Fri	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy 4 Courts & Kilmainham jail	Ireland	Dublin	treaty			201	0	0	0	0	0	0	0	Deasy			
14-Apr-22	Fri	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
15-Apr-22	Sat	unraveling	anti-treaty	anti-treaty	split in anti-treaty forces leads to separation between Dublin & Ireland	Ireland	Dublin	treaty			201	0	0	0	0	0	0	0	Deasy			
15-Apr-22	Sat	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
15-Apr-22	Sat	battle	anti-treaty	pro-treaty	firefight erupts between two forces	Ireland	Sligo	treaty			101	0	0	0	101	8	0	0	Younger			
16-Apr-22	Sun	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
16-Apr-22	Sun	defection	anti-treaty	pro-treaty	Collins's driver tries to take him off; instead Collins speaks	Ireland	Waterford	treaty			1	1	0	0	301	0	0	0	Younger			
17-Apr-22	Mon	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
18-Apr-22	Tue	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
19-Apr-22	Wed																			no event		
20-Apr-22	Thu																			no event		
21-Apr-22	Fri																					
22-Apr-22	Sat	obstruction	anti-treaty	pro-treaty	Collins delayed because anti-treaty troops closed all railroad gates	Ireland	Killarney	treaty			101	0	0	0	101	0	0	0	Younger			
22-Apr-22	Sat	harass	anti-treaty	pro-treaty	50 men show up with bayonets & burn speakers platform	Ireland	Killarney	treaty			50	0	0	0	0	0	0	0	Younger			
23-Apr-22	Sun	statement	pro-treaty	anti-treaty	both sides confined to barracks as Collins speaks	Ireland	Tralee	treaty			101	0	0	0	301	0	0	0	Younger			
23-Apr-22	Sun	arrest	anti-treaty	pro-treaty	both sides arrest 10 troops	Ireland	Tralee	treaty			101	10	0	0	301	10	0	0	Younger			
24-Apr-22	Mon	assassination	anti-treaty	pro-treaty	shoot General Adamson dead	Ireland	Athlone	treaty			3	0	0	0	1	0	0	1	Younger			
24-Apr-22	Mon	surrender	anti-treaty	pro-treaty	"appalled at assassination, anti-treaty troops give up to McEoin"	Ireland	Athlone	treaty			25	25	0	0	1	0	0	0	Younger			
25-Apr-22	Tue	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
26-Apr-22	Wed	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
27-Apr-22	Thu	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
28-Apr-22	Fri	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
29-Apr-22	Sat	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
30-Apr-22	Sun	standoff	anti-treaty	pro-treaty	both sides try to occupy UK barracks; shooting ensues	Ireland	Annacarty	treaty			101	0	0	0	101	0	3	0	Younger			
1-May-22	Mon	attack	anti-treaty	pro-treaty	try to drive state (pro-treaty) forces out	Ireland	Kilkenny	treaty			301	0	0	0	201	0	0	0	Neeson			
1-May-22	Mon	robbery	anti-treaty	banks	"take 250,000 pounds from banks"	Ireland	Ireland	treaty			301	0		0	0	0	0	0	Younger			
1-May-22	Mon	mutiny	anti-treaty	pro-treaty	Bank of Ireland guard mutinies against pro-treaty force	Ireland	Dublin	treaty			19	19	0	0	101	0	0	0	Younger			
2-May-22	Tue	occupation	anti-treaty	pro-treaty	agree to occupy two different sections of the city	Ireland	Kilkenny	treaty			301	0	0	0	301	0	0	0	Neeson			
2-May-22	Tue	surrender	pro-treaty	anti-treaty	pro-treaty forces surrender barracks	Ireland	Annacarty	treaty		10:00	101	0	0	0	98	25	0	0	Younger			
3-May-22	Wed	battle	pro-treaty	anti-treaty	pro-treaty troops attack anti-treaty forces	Ireland	Kilkenny	treaty		7:00	101	0	0	0	101	0	4	0	Younger			
3-May-22	Wed	surrender	anti-treaty	pro-treaty	anti-treaty forces give up	Ireland	Kilkenny	treaty		19:00	51	10	0	0	101	0	0	0	Younger			
4-May-22	Thu	truce	anti-treaty	pro-treaty	agree on a 4-day truce	Ireland	Dublin	treaty			31	0	0	0	31	0	0	0	Younger			
