Date	Day	Action	Actor	Target	Agent	Event	Country	Location	Issue	Linkdate	Time	Reds	Red missing	Red injured	Red deaths	Whites	White missing	White injured	White dead	Source	No event	Sources
4-Nov-17	Sun	demonstration	"soldiers, workers"	Mensheviks		demand more food & pay	Russia	Petrograd	food & pay			30001	0	0	0	0	0	0	0	Pearlstein		"An Englishwoman, From a Russian Diary, 1917-1920. New York: E.P. Dutton, 1921."
5-Nov-17	Mon	deploy	Bolsheviks	Mensheviks		begin to occupy strategic points	Russia	Petrograd	Bolshevik control			3001	0	0	0	0	0	0	0	Moorehead		"Arenz, Wilhelm. Polen und Russland 1918-1919. Leipzig, Germany: S. Hirzel, 1939."
6-Nov-17	Tue	arrest	Bolsheviks	military		arm contingent arrested by Red Guards	Russia	Petrograd	Bolshevik control			31	0	0	0	31	31	0	0	Trotsky 1959		"Bunyan, James. Intervention, Civil War, and Communism in Russia, April-December 1918. Baltimore: Johns Hopkins University Press, 1936."
6-Nov-17	Tue	attack	Bolsheviks	Mensheviks		"try to take Winter Palace, but retreat"	Russia	Petrograd	Bolshevik control		8:00-9:00	3001	0	0	0	301	0	0	0	Pipes		"Bunyan, James and H.H. Fisher. The Bolshevik Revolution, 1917-1918: Documents and Materials. Stanford, CA: Stanford University Press, 1961."
6-Nov-17	Tue	coup	Bolsheviks	Mensheviks		take over strategic spots in city	Russia	Petrograd	Bolshevik control			15000	0	0	0	0	0	0	0	Pipes		"Coates, W.P. & Zelda Coates. Armed Intervention in Russia, 1918-1922. London: Victor Gollanz, 1935."
6-Nov-17	Tue	coup	Bolsheviks	Mensheviks		use armed force to seize power	Russia	Petrograd	Bolshevik control		19:00	3001	0	0	0	301	301	0	0	Mawdsley		"Chamberlin, The Russian Revolution. 2 volumes. New York: Macmillan, 1935."
6-Nov-17	Tue	occupation	Bolsheviks	government	news agency	take over state news room	Russia	Petrograd	Bolshevik control		21:00	31	0	0	0	0	0	0	0	Trotsky 1959		"Davies, Norman. White Eagle, Red Star: The Polish-Soviet War, 1919-1920. London, UK: MacDonald, 1972."
6-Nov-17	Tue	proscription	Mensheviks	Bolsheviks	newspaper	shut down Bolshevik newspaper	Russia	Petrograd	anti-Bolshevik		5:30	8	8	0	0	8	0	0	0	Pearlstein		"Fiddick, Thomas C. Russia's Retreat from Poland, 1920. New York: St. Martin's Press, 1990."
7-Nov-17	Wed	arrest	Bolsheviks	Junkers		take 2 truckloads of Junkers into custody	Russia	Petrograd	Bolshevik control		6:00	301	0	0	0	60	60	0	0	Trotsky 1959		"Gordon, Alban. Russian Civil War: A Sketch for a History. London: Cassell, 1937."
7-Nov-17	Wed	arrest	Bolsheviks	Mensheviks		arrest the Kerensky government	Russia	Petrograd	Bolshevik control		3:10	301	0	0	0	31	31	0	0	Pipes		"Kenez, Peter. Civil War in South Russia, 1918. Berkeley: University of California Press, 1971."
7-Nov-17	Wed	battle	Bolsheviks	Mensheviks		battle for Winter Palace	Russia	Petrograd	Bolshevik control		12:00-23:59	301	0	3	1	201	31	3	1	Trotsky 1959		"Kenez, Peter. Civil War in South Russia, 1919-1920. Berkeley: University of California Press, 1977."
7-Nov-17	Wed	statement	Bolsheviks	citizens		Bolsheviks claim to hold power	Russia	Petrograd	Bolshevik control		10:00	8	0	0	0	0	0	0	0	Trotsky 1959		"Jackson, Robert. At War with the Bolsheviks: The Allied Intervention into Russia, 1917-1920. London: Tom Stacey, 1972."
8-Nov-17	Thu	battle	Bolsheviks	Mensheviks		battle for Winter Palace	Russia	Petrograd	Bolshevik control		0:00-2:10	301	0	0	0	201	0	0	0	Trotsky 1959		"Hudson, Miles. Intervention in Russia, 1918-1920: A Cautionary Tale. Barnsley, UK: Leo Cooper, 2004."
8-Nov-17	Thu	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Lincoln, W. Bruce. Red Victory. New York: Simon & Schuster, 1989."
9-Nov-17	Fri	censorship	Bolsheviks	press		proscribe all 'counter-revolutionary' publications	Russia	Petrograd	Bolshevik control			8	0	0	0	0	0	0	0	Pipes		"Loukomsky,  Aleksandr. Memoirs of the Russian Revolution. London: T. Fisher Unwin, 1922."
9-Nov-17	Fri	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Mawdsley, Evan. The Russian Civil War. Edinburgh, UK: Berlinn, 2005."
9-Nov-17	Fri	strike	workers	Bolsheviks		demand more food & pay	Russia	Petrograd	food & pay			0	0	0	0	30001	0	0	0	Trotsky 1959		"Moorehead, Alan. The Russian Revolution. New York: Carroll & Graf, 1958."
10-Nov-17	Sat	arrest	Committee of Salvation	Bolsheviks		arrest courier with message of invasion	Russia	Petrograd	Bolshevik control			3	0	0	0	1	1	0	0	Swain		"Markov, Sergey von. Armee ohne Heimat. Leipzig: Ralph A. Hoeger-Verlag, 1935."
10-Nov-17	Sat	attack	Whites	Bolsheviks		aborted attack is halted by Bolsheviks	Russia	Petrograd	civil war			301	0	0	0	301	200	71	30	Mawdsley		"Murphy, Brian. Rostov in the Rusian Civil War: The Key to Victory. London: Routledge, 2005."
10-Nov-17	Sat	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Pearlstein, Edward W., ed. Revolution in Russia, New York: Viking Press, 1967."
10-Nov-17	Sat	strike	workers	Bolsheviks		demand more food & pay	Russia	Petrograd	food & pay			0	0	0	0	30001	0	0	0	Trotsky 1959		"Pipes, Richard. A Concise History of the Russian Revolution. New York: Random House, 1995."
11-Nov-17	Sun	attack	Bolsheviks	Mensheviks		attack at midnight	Russia	Moscow	Bolshevik control			1001	0	31	8	801	31	31	8	Pipes		"Stewart, George. The White Armies of Russia. New York: Macmillian, 1933."
11-Nov-17	Sun	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Swain, Geoffrey. Russia's Civil War, Charleston, SC: Tempus, 2000."
11-Nov-17	Sun	rising	military students	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	501	0	0	0	Bunyan & Fisher		"Swain, Geoffrey. The Origins of the Russian Civil War. New York: Longman, 1996."
12-Nov-17	Mon	battle	Bolsheviks	Mensheviks		struggle to control Moscow	Russia	Moscow	Bolshevik control			970	0	31	8	701	0	31	8	Pipes		"Trotsky, Leon. The Russian Revolution. New York: Doubleday, 1959."
12-Nov-17	Mon	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Trotsky, Leon. The Military Writing of Leon Trotsky. vol. 1, 1918"
13-Nov-17	Tue	battle	Bolsheviks	Mensheviks		struggle to control Moscow	Russia	Moscow	Bolshevik control			970	0	31	8	701	0	31	8	Pipes		
14-Nov-17	Wed	battle	Bolsheviks	Mensheviks		struggle to control Moscow	Russia	Moscow	Bolshevik control			970	0	31	8	701	0	31	8	Pipes		
14-Nov-17	Wed	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		Coding Notes
15-Nov-17	Thu	battle	Bolsheviks	Mensheviks		Mensheviks surrender	Russia	Moscow	Bolshevik control			900	0	0	0	301	401	0	0	Pipes		
15-Nov-17	Thu	battle	Bolsheviks	Whites		against Bolshevik takeover	Russia	Irkutsk	anti-Bolshevik			3001	0	101	31	2001	0	301	31	Mawdsley		"While there are many texts on the Russian civil war, there are no specific"
15-Nov-17	Thu	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		chronologies with casualities as in the U.S. civil war. Most of the 
16-Nov-17	Fri	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"casualties are estimated from the texts noted above. In general, the"
17-Nov-17	Sat	decree power	Bolsheviks	citizens		central committee votes 25-23 for decree power of Bolsheviks	Russia	Petrograd	Bolshevik control			48	0	0	0	0	0	0	0	Pipes		total dead and wounded listed in the data are lower than the official 
17-Nov-17	Sat	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Soviet publishied data (G.E. Krivosheev, Soviet Casualties and "
18-Nov-17	Sun	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Combat Losses in the Twentieth Century. Stackpole Books, 1997)."
19-Nov-17	Mon	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		Our data neither have soldiers who deserted nor who died later from wounds.
20-Nov-17	Tue	riot	Bolsheviks	Whites		White commander killed by Red mob	Russia	Mogliev	Bolshevik control			101	0	0	0	1	1	0	1	Mawdsley		"We have attempted to represent the time, place and scale of the conflicts"
20-Nov-17	Tue	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		accurately.
21-Nov-17	Wed	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		
22-Nov-17	Thu	order	Bolsheviks	soldiers		soldiers ordered to contact Germans & ask for truce	Russia	Russia	war truce			8	0	0	0	0	0	0	0	Moorehead		
22-Nov-17	Thu	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"For the most part, ""Red"" data are the Bolsheviks. The White data include "
22-Nov-17	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		"all opposed to the Bolsheviks, including Whites, Cossacks, SR's, Poles, Americans,"
23-Nov-17	Fri	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"British, French and Japanese. The Chechen conflict, however, was directed mostly "
23-Nov-17	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		against the Whites.
24-Nov-17	Sat	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		
24-Nov-17	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		"We have used the Gregorian dates. Lenin changed the calendar in February 1918, but they extend to the Bolshevik takeover in these data."
25-Nov-17	Sun	dismiss	generals	Bolsheviks		Bolsheviks fire army generals	Russia	Dvinsk	Bolshevik control			8	0	0	0	31	31	0	0	Moorehead		
25-Nov-17	Sun	election	citizens	Bolsheviks		Bolsheviks get only 24% of vote	Russia	Russia	anti-Bolshevik			41700000	0	0	0	0	0	0	0	Moorehead		
26-Nov-17	Mon	offer	Bolsheviks	Germans		Bolsheviks march into German lines with white flag	Russia	Dvinsk	armistice			31	0	0	0	0	0	0	0	Moorehead		
26-Nov-17	Mon	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
27-Nov-17	Tue	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
28-Nov-17	Wed	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
29-Nov-17	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
