Date	Day	Tactics	Actors	Target	Event Description	Country	Location	Battle	Duration	Nationalist troops	Nat Arrests	Nat injuries	Nat deaths	Rep troops	Rep arrests	Rep injuries	Rep deaths	Workers	Civilian inj	Civiliandeaths	Source	Date	no event	Source Descriptions
12-Jul-36	Sun	assassinate	Nationalists	Republicans	shoot dead anti-fascist Lt. Castillo	Spain	Madrid			13	0	0	0	0	0	0	0	1	0	1	Jackson			"Antony Beevor, The Spanish Civil War. London: Orbis Publishing, 1982."
12-Jul-36	Sun	strike	workers	Nationalists	general strike in its fourth week	Spain	Baena			90	0	0	0	0	0	0	0	9001	0	0	Fraser			"Pierre Broue & Emile Temime, The Revolution and the Civil War in Spain. Cambridge, MA: MIT Press, 1972."
13-Jul-36	Mon	assassinate	Nationalists	Republicans	shoot dead Calvo Sotelo	Spain	Madrid			13	0	0	0	1	0	0	1	0	0	0	Jackson			"Harold G. Cardozo, The March of a Nation: My Year of Spain's Civil War. London: The ""Right"" Book Club, 1937"
13-Jul-36	Mon	strike	workers	Nationalists	general strike in its fourth week	Spain	Baena			90	0	0	0	0	0	0	0	9001	0	0	Fraser			"Raymond Carr, The Spanish Tragedy. London: Phoenix Press, 1986."
14-Jul-36	Tue	strike	workers	Nationalists	general strike in its fourth week	Spain	Baena			90	0	0	0	0	0	0	0	9001	0	0	Fraser			"Ronald Fraser, Blood of Spain. London: Penguin, 1979."
15-Jul-36	Wed	strike	workers	Nationalists	general strike in its fourth week	Spain	Baena			90	0	0	0	0	0	0	0	9001	0	0	Fraser			"Jack Gibbs, The Spanish Civil War London: Ernest Benn Limited, 1973."
16-Jul-36	Thu	arrest	Republicans	Nationalists	arrest general for supporting insurrection	Spain	Burgos			1	1	0	0	301	0	0	0	0	0	0	Jackson			"Gabriel Jackson, The Spanish Republic and the Civil War, 1931-1939. Princeton, NJ: Princeton University Press, 1965."
16-Jul-36	Thu	murder	Nationalists	union leaders	kill all union leaders after summary trial	Spain	Burgos			301	0	0	0	0	0	0	20	0	0	0	Fraser			"Frank Jellinek, The Civil War in Spain. New York: Howard Fertig, 1969."
16-Jul-36	Thu	strike	workers	Nationalists	general strike in its fourth week	Spain	Baena			90	0	0	0	0	0	0	0	9001	0	0	Fraser			"H.R. Knickerbocker, The Siege of Alcazar: A Warlog of the Spanish Revolution. Philadelphia: David McCay, 1936"
17-Jul-36	Fri	rising	Nationalists	military	seize public buildings & radio station	Spain	Morocco	Melilla		3001	0	0	0	301	0	201	100	0	0	0	Jackson			"James Pettifer, ed. Cockburn in Spain: Despatches from the Spanish Civil War. London: Lawrence & Wishart, 1986."
17-Jul-36	Fri	strike	workers	Nationalists	general strike in its fourth week	Spain	Baena			90	0	0	0	0	0	0	0	9001	0	0	Fraser			
17-Jul-36	Fri	arrest	Nationalists	Republicans	arrest 2 Republican generals	Spain	Morocco	Melilla		3001	0	0	0	2	2	0	0	0	0	0	Jackson			
17-Jul-36	Fri	rising	Nationalists	Republicans	troops quietly take over city	Spain	Malaga			301	0	0	0	0	0	0	0	0	0	0	Jackson			
17-Jul-36	Fri	rising	Nationalists	Republicans	troops defeat workers in battle	Spain	Huelva	Huelva		301	0	0	0	301	0	101	51	0	0	0	Jackson			
17-Jul-36	Fri	rising	Nationalists	Republicans	troops defeat workers in battle	Spain	Grenada	Grenada		301	0	0	0	301	0	101	51	0	0	0	Jackson			
17-Jul-36	Fri	rising	Nationalists	Republicans	workers defeat challenge	Spain	Jaen	Jaen		301	0	31	8	301	0	8	3	0	0	0	Jackson			
