Date,Day,Action,Actor,Target,Agent,Event,State,Location,Issue,Linked date,Time/Duration,side1troops,side1arrests,side1injured,side1killed,side2troops,side2arrests,side2injured,side2killed,Source,no event,Sources
9-Jan-61,Wed,shelling,Confederate students,ship,,students fire 2 cannons at ship supplying Ft. Sumter,South Carolina,Morris Island,secession,,,301,0,0,0,0,0,0,0,Gallman,,"Arnold, James R. & Roberta Wiener. The Timechart History of the Civil War. Ann Arbor: Lowe & B. Hould Publishers, 2001."
9-Jan-61,Wed,secession,Mississippi,Union,,legislature votes to secede,Mississippi,Jackson,secession,,,84,0,0,0,0,0,0,0,Arnold & Wiener,,"Bowman, John S.,ed. The Civil War Almanac. New York: Facts on File, 1982."
10-Jan-61,Thu,secession,Florida,Union,,legislature votes to secede,Florida,Tallahassee,secession,,,62,0,0,0,0,0,0,0,Arnold & Wiener,,"Faust, Patricia L. Historical Times Illustrated Encyclopedia of the Civil War. New York: Harper & Row, 1986."
10-Jan-61,Thu,seizure,Louisiana militia,Union,forts/arsenals,militia occupies all federal forts & arsenals,Louisiana,Louisiana,secession,,,301,0,0,0,0,0,0,0,Arnold & Wiener,,"Gallman, J. Matthew, ed. The Civil War Chronicle. New York: Gramercy Books, 2000."
11-Jan-61,Fri,secession,Alabama,Union,,legislature votes to secede,Alabama,Montgomery,secession,,,61,0,0,0,0,0,0,0,Arnold & Wiener,,"Katcher, Philip. Brassey's Almanac: The American Civil War. London, UK: Brassey's 2003."
12-Jan-61,Sat,occupation,Florida troops,Union,forts/arsenals,troops seize federal forts,Florida,Pensacola,secession,,,301,0,0,0,0,0,0,0,Sauers,,"Sauers, Richard A. The Civil War Chronicle. Lincolnwood, IL: Legacy, 2004."
13-Jan-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
14-Jan-61,Mon,mobilization,Union,Confederates,,U.S. troops garrison Fort Taylor to protect it,Florida,Key West,union preservation,,,0,0,0,0,301,0,0,0,Bowman,,
15-Jan-61,Tue,,,,,,,,,,,,,,,,,,,,no event,Notes
16-Jan-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
17-Jan-61,Thu,,,,,,,,,,,,,,,,,,,,no event,"Dates: Computer spreadsheets will not work for any date before January 1, 1900.  Since the civil war occurred in the 18th century"
18-Jan-61,Fri,,,,,,,,,,,,,,,,,,,,no event,"there was no choice but to use the 20th century dates. However, both the dates and the days are accurate for 1861-1865."
19-Jan-61,Sat,secession,Georgia,Union,,legislature votes to secede,Georgia,Atlanta,secession,,,208,0,0,0,0,0,0,0,Sauers,,
20-Jan-61,Sun,occupation,Mississippi,Union,forts/arsenals,state militia seizes Fort Massachusetts,Mississippi,Ship Island,secession,,,101,0,0,0,0,31,31,0,Bowman,,"Casualty data: The Confederates burned all of their military records. Historians have worked hard to recreate them, but inevitably"
21-Jan-61,Mon,resign,Confederates,Union,Senate,resign from U.S. Senate,Washington,District of Columbia,secession,,,8,0,0,0,0,0,0,0,Sauers,,"there are gaps. Historians refer to skirmishes (light, moderate and heavy), engagements, and battles. When no casualty data"
22-Jan-61,Tue,,,,,,,,,,,,,,,,,,,,no event,"existed, I used 8 injuries and 3 deaths for light or moderate skirmishes and 31 injuries and 8 deaths for heavy skirmishes."
23-Jan-61,Wed,,,,,,,,,,,,,,,,,,,,no event,"When battles persisted for more than one day, I averaged the casualties except in the rare instance where daily casualty data existed."
24-Jan-61,Thu,occupation,Georgia,Union,forts/arsenals,militia occupies all federal forts & arsenals,Georgia,Augusta,secession,,,301,0,0,0,0,0,0,0,Katcher,,
25-Jan-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
26-Jan-61,Sat,secession,Louisiana,Union,,legislature votes to secede,Louisiana,Baton Rouge,secession,,,114,0,0,0,0,0,0,0,Katcher,,
27-Jan-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
28-Jan-61,Mon,,,,,,,,,,,,,,,,,,,,no event,
29-Jan-61,Tue,statehood,Kansas,Union,,Kansas admitted as free state,Kansas,Topeka,statehood,,,0,0,0,0,0,0,0,0,Sauers,,
30-Jan-61,Wed,surrender,Confederates,Union,navy,U.S. revenue cutter Lewis Cass surrenders,Alabama,Mobile,secession,,,301,0,0,0,31,31,0,0,Katcher,,
31-Jan-61,Thu,occupation,Louisiana,Union,mint,state seizes U.S. mint,Louisiana,New Orleans,secession,,,101,0,0,0,0,0,0,0,Katcher,,
1-Feb-61,Fri,secession,Texas,Union,,legislature votes to secede,Texas,Austin,secession,,,166,0,0,0,0,0,0,0,Arnold & Wiener,,
2-Feb-61,Sat,,,,,,,,,,,,,,,,,,,,no event,
3-Feb-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
4-Feb-61,Mon,rally,Confederates,Union,,meet to plan government & draft a constitution,Alabama,Montgomery,secession,,,301,0,0,0,0,0,0,0,Katcher,,
5-Feb-61,Tue,,,,,,,,,,,,,,,,,,,,no event,
6-Feb-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
7-Feb-61,Thu,alliance,Choctow Indians,Confederates,,Choctaw tribe allies with Confederacy against Union,Alabama,Montgomery,secession,,,301,0,0,0,0,0,0,0,Katcher,,
8-Feb-61,Fri,institutional design,Confederates,Union,,seceded states write a constitution,Alabama,Montgomery,secession,,,301,0,0,0,0,0,0,0,Sauers,,
